cpu,memory,timestamp
355,9420.8,15:54:17
315,9420.8,15:54:17
335,9420.8,15:54:17
369.6,9420.8,15:54:17
375,9420.8,15:54:18
390,9420.8,15:54:18
380,9420.8,15:54:18
385,9420.8,15:54:18
390,9420.8,15:54:18
375,9420.8,15:54:19
390,9420.8,15:54:19
357.1,9420.8,15:54:19
365,9420.8,15:54:19
385,9420.8,15:54:19
385,9420.8,15:54:20
375,9420.8,15:54:20
375,9420.8,15:54:20
375,9420.8,15:54:20
375,9420.8,15:54:20
385,9420.8,15:54:21
365,9420.8,15:54:21
370,9420.8,15:54:21
380,9420.8,15:54:21
385,9420.8,15:54:21
375,9420.8,15:54:22
395,9420.8,15:54:22
390,9420.8,15:54:22
371.4,9420.8,15:54:22
365,9420.8,15:54:22
345,9420.8,15:54:23
360,9420.8,15:54:23
370,9420.8,15:54:23
390,9420.8,15:54:23
385,9420.8,15:54:23
395,9420.8,15:54:24
390,9420.8,15:54:24
390,9420.8,15:54:24
371.4,9420.8,15:54:24
395,9420.8,15:54:24
390,9420.8,15:54:25
375,9420.8,15:54:25
285,9420.8,15:54:25
270,9420.8,15:54:25
305,9420.8,15:54:25
265,9420.8,15:54:26
335,9420.8,15:54:26
195,9420.8,15:54:26
145,9420.8,15:54:26
75,9420.8,15:54:26
